
date,apartment_no,time,visitors
2022-01-01,101,09:00,5
2022-01-01,102,10:00,3
2022-01-01,103,11:00,2
2022-01-02,101,09:00,4
2022-01-02,102,10:00,5
2022-01-02,103,11:00,1
2022-01-03,101,09:00,3
2022-01-03,102,10:00,2
2022-01-03,103,11:00,4
2022-01-04,101,09:00,2
2022-01-04,102,10:00,1
2022-01-04,103,11:00,3
2022-01-05,101,09:00,1
2022-01-05,102,10:00,4
2022-01-05,103,11:00,2
2022-01-06,101,09:00,3
2022-01-06,102,10:00,2
2022-01-06,103,11:00,1
2022-01-07,101,09:00,2
2022-01-07,102,10:00,3
2022-01-07,103,11:00,4
2022-01-08,101,09:00,1
2022-01-08,102,10:00,2
2022-01-08,103,11:00,3
2022-01-09,101,09:00,4
2022-01-09,102,10:00,1
2022-01-09,103,11:00,2
2022-01-10,101,09:00,3
2022-01-10,102,10:00,4
2022-01-10,103,11:00,1
